477584365;;;;590327050;;;;780578181;;;;849595561;;;;852242067;;;;889587231;;;;909301905;;;;1026622334;;;;1107020014;;;;1132588472;;;;1171060558;;;;1233789535;;;;1356032912;;;;1475380697;;;;1508140515;;;;1743176921;;;;1930473933;;;;2033904606;;;;2047881332;;;;2120006094;;;;2297179310;;;;2301927263;;;;3043670120;;;;3130644750;;;;3257423356;;;;3314032339;;;;3394226721;;;;3623113991;;;;3630725801;;;;3662215154;;;;3859982937;;;;3888391542;;;;4080231813;;;;4125928694;;;;4134869791;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;0;753.235;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;0;750.82;0;;0;772.548;0;;0;750.82;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;0;633.731;0;;0;750.82;0;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;753.235;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;0;750.82;0;;0;772.548;0;;0;750.82;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;748.406;0;;0;753.235;0;;0;633.731;0;;0;750.82;0;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1030.9;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;1;937.339;0;;0;772.548;0;;0;750.82;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;853.795;0;;0;753.235;0;;0;633.731;0;;0;750.82;0;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;690.974;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;1;630.274;0;;0;772.548;0;;0;750.82;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;576.797;0;;0;753.235;0;;0;633.731;0;;1;609.195;0;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;861.914;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;1;785.295;0;;0;772.548;0;;1;754.212;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;718.762;0;;0;753.235;0;;0;633.731;0;;1;761.438;0;;
0;754.442;0;;0;749.613;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;769.403;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;1;700.921;0;;0;772.548;0;;1;654.082;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;703.836;0;;1;647.676;0;;0;753.235;0;;0;633.731;0;;1;686.824;0;;
0;754.442;0;;1;533.084;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;608.842;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;0;748.406;0;;0;753.235;0;;1;558.734;0;;0;772.548;0;;1;516.993;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;560.314;0;;1;515.411;0;;0;753.235;0;;0;633.731;0;;1;546.705;0;;
0;754.442;0;;1;646.622;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;0;748.406;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;740.665;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;683.828;0;;0;753.235;0;;1;674.723;0;;0;772.548;0;;1;623.303;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;679.427;0;;1;622.676;0;;0;753.235;0;;0;633.731;0;;1;660.959;0;;
0;754.442;0;;1;669.174;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;1;574.759;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;762.158;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;690.282;0;;0;753.235;0;;1;700.736;0;;0;772.548;0;;1;643.916;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;702.41;0;;1;647.09;0;;0;753.235;0;;0;633.731;0;;1;684.826;0;;
0;754.442;0;;1;898.662;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;1;734.059;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1036.91;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;1036.69;0;;0;753.235;0;;1;944.129;0;;0;772.548;0;;1;864.373;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;944.403;0;;1;867.826;0;;0;753.235;0;;0;633.731;0;;1;919.939;0;;
